timestamp_utc,cache_key,model,subdir
2026-08-31T15:38:01.285164+00:00,2024_lab_minimal_gpt-5_run1,gpt-5,summaries
2026-08-31T15:39:13.077859+00:00,2024_lab_minimal_gpt-5_run2,gpt-5,summaries
2026-08-31T15:40:03.762479+00:00,2024_lab_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T15:41:02.200645+00:00,2024_lab_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T15:41:48.252840+00:00,2024_lab_minimal_gpt-5_run5,gpt-5,summaries
2026-08-31T15:42:35.947304+00:00,2024_lab_neutral_gpt-5_run1,gpt-5,summaries
2026-08-31T15:43:22.415996+00:00,2024_lab_neutral_gpt-5_run2,gpt-5,summaries
2026-08-31T15:44:02.670371+00:00,2024_lab_neutral_gpt-5_run3,gpt-5,summaries
2026-08-31T15:45:10.082352+00:00,2024_lab_neutral_gpt-5_run4,gpt-5,summaries
2026-08-31T15:45:50.000533+00:00,2024_lab_neutral_gpt-5_run5,gpt-5,summaries
2026-08-31T15:46:31.449165+00:00,2024_lab_framing_preserving_gpt-5_run1,gpt-5,summaries
2026-08-31T15:47:11.966440+00:00,2024_lab_framing_preserving_gpt-5_run2,gpt-5,summaries
2026-08-31T15:47:43.055230+00:00,2024_lab_framing_preserving_gpt-5_run3,gpt-5,summaries
2026-08-31T15:48:19.188940+00:00,2024_lab_framing_preserving_gpt-5_run4,gpt-5,summaries
2026-08-31T15:48:49.284932+00:00,2024_lab_framing_preserving_gpt-5_run5,gpt-5,summaries
2026-08-31T15:49:52.598888+00:00,2024_lab_framed_gpt-5_run1,gpt-5,summaries
2026-08-31T15:50:56.930831+00:00,2024_lab_framed_gpt-5_run2,gpt-5,summaries
2026-08-31T15:52:09.484321+00:00,2024_lab_framed_gpt-5_run3,gpt-5,summaries
2026-08-31T15:53:07.444724+00:00,2024_lab_framed_gpt-5_run4,gpt-5,summaries
2026-08-31T15:54:01.980059+00:00,2024_lab_framed_gpt-5_run5,gpt-5,summaries
2026-08-31T15:55:00.968803+00:00,2024_lab_distorted_gpt-5_run1,gpt-5,summaries
2026-08-31T15:55:44.801376+00:00,2024_lab_distorted_gpt-5_run2,gpt-5,summaries
2026-08-31T15:56:23.125871+00:00,2024_lab_distorted_gpt-5_run3,gpt-5,summaries
2026-08-31T15:56:51.487881+00:00,2024_lab_distorted_gpt-5_run4,gpt-5,summaries
2026-08-31T15:57:31.098317+00:00,2024_lab_distorted_gpt-5_run5,gpt-5,summaries
2026-08-31T15:58:14.931928+00:00,2024_lab_anonymised_gpt-5_run1,gpt-5,summaries
2026-08-31T15:59:11.418589+00:00,2024_lab_anonymised_gpt-5_run2,gpt-5,summaries
2026-08-31T15:59:47.011279+00:00,2024_lab_anonymised_gpt-5_run3,gpt-5,summaries
2026-08-31T16:00:29.201233+00:00,2024_lab_anonymised_gpt-5_run4,gpt-5,summaries
2026-08-31T16:01:13.672142+00:00,2024_lab_anonymised_gpt-5_run5,gpt-5,summaries
2026-08-31T16:04:11.346999+00:00,extract_2024_lab_minimal_gpt-5_run1,gpt-5,extractions
2026-08-31T16:05:50.923982+00:00,extract_2024_lab_minimal_gpt-5_run2,gpt-5,extractions
2026-08-31T16:08:18.629171+00:00,extract_2024_lab_minimal_gpt-5_run3,gpt-5,extractions
2026-08-31T16:10:39.409072+00:00,extract_2024_lab_minimal_gpt-5_run4,gpt-5,extractions
2026-08-31T16:13:20.487516+00:00,extract_2024_lab_minimal_gpt-5_run5,gpt-5,extractions
2026-08-31T16:17:12.520019+00:00,extract_2024_lab_neutral_gpt-5_run1,gpt-5,extractions
2026-08-31T16:18:47.998881+00:00,extract_2024_lab_neutral_gpt-5_run2,gpt-5,extractions
2026-08-31T16:27:33.129835+00:00,extract_2024_lab_neutral_gpt-5_run3,gpt-5,extractions
2026-08-31T16:29:38.665106+00:00,extract_2024_lab_neutral_gpt-5_run4,gpt-5,extractions
2026-08-31T16:31:29.914587+00:00,extract_2024_lab_neutral_gpt-5_run5,gpt-5,extractions
2026-08-31T16:33:32.617471+00:00,extract_2024_lab_framing_preserving_gpt-5_run1,gpt-5,extractions
2026-08-31T16:35:12.388593+00:00,extract_2024_lab_framing_preserving_gpt-5_run2,gpt-5,extractions
2026-08-31T16:36:58.674039+00:00,extract_2024_lab_framing_preserving_gpt-5_run3,gpt-5,extractions
2026-08-31T16:38:39.417971+00:00,extract_2024_lab_framing_preserving_gpt-5_run4,gpt-5,extractions
2026-08-31T16:40:15.300413+00:00,extract_2024_lab_framing_preserving_gpt-5_run5,gpt-5,extractions
2026-08-31T16:41:54.957098+00:00,extract_2024_lab_framed_gpt-5_run1,gpt-5,extractions
2026-08-31T16:43:39.696854+00:00,extract_2024_lab_framed_gpt-5_run2,gpt-5,extractions
2026-08-31T16:45:21.336978+00:00,extract_2024_lab_framed_gpt-5_run3,gpt-5,extractions
2026-08-31T16:46:51.992456+00:00,extract_2024_lab_framed_gpt-5_run4,gpt-5,extractions
2026-08-31T16:48:30.705311+00:00,extract_2024_lab_framed_gpt-5_run5,gpt-5,extractions
2026-08-31T16:50:05.197590+00:00,extract_2024_lab_distorted_gpt-5_run1,gpt-5,extractions
2026-08-31T16:52:17.364425+00:00,extract_2024_lab_distorted_gpt-5_run2,gpt-5,extractions
2026-08-31T16:54:44.715788+00:00,extract_2024_lab_distorted_gpt-5_run3,gpt-5,extractions
2026-08-31T16:56:23.652505+00:00,extract_2024_lab_distorted_gpt-5_run4,gpt-5,extractions
2026-08-31T16:58:21.764160+00:00,extract_2024_lab_distorted_gpt-5_run5,gpt-5,extractions
2026-08-31T16:59:59.483424+00:00,extract_2024_lab_anonymised_gpt-5_run1,gpt-5,extractions
2026-08-31T17:01:54.392814+00:00,extract_2024_lab_anonymised_gpt-5_run2,gpt-5,extractions
2026-08-31T17:04:32.939643+00:00,extract_2024_lab_anonymised_gpt-5_run3,gpt-5,extractions
2026-08-31T17:06:58.378198+00:00,extract_2024_lab_anonymised_gpt-5_run4,gpt-5,extractions
2026-08-31T17:09:11.456180+00:00,extract_2024_lab_anonymised_gpt-5_run5,gpt-5,extractions
2026-08-31T17:09:53.152827+00:00,2024_con_minimal_gpt-5_run1,gpt-5,summaries
2026-08-31T17:10:32.917929+00:00,2024_con_minimal_gpt-5_run2,gpt-5,summaries
2026-08-31T17:11:00.522758+00:00,2024_con_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T17:11:40.337735+00:00,2024_con_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T17:12:09.194413+00:00,2024_con_minimal_gpt-5_run5,gpt-5,summaries
